time,P,G(i),H_sun,T2m,WS10m,Int
20191029:1511,28263000,127.93,4.53,8.03,1.52,0
20191029:1611,0,0,0,6.93,1.59,0
20191029:1711,0,0,0,5.67,1.72,0
20191029:1811,0,0,0,4.51,1.72,0
20191029:1911,0,0,0,3.49,2,0
20191029:2011,0,0,0,2.88,1.86,0
20191029:2111,0,0,0,2.26,1.72,0
20191029:2211,0,0,0,1.78,1.59,0
20191029:2311,0,0,0,1.77,1.45,0
20191030:0011,0,0,0,2.43,1.17,0
20191030:0111,0,0,0,3.71,0.69,0
20191030:0211,0,0,0,3.5,0.41,0
20191030:0311,0,0,0,3.08,0.55,0
20191030:0411,0,0,0,2.35,0.62,0
20191030:0511,0,0,0,0.54,0.28,0
20191030:0611,0,0,0,-0.68,0.07,0
20191030:0711,28347000,123.63,5.4,0.09,0.34,0
20191030:0811,110607000,427.51,11.98,0.82,0.28,0
20191030:0911,156930000,614.75,17.08,2.62,0.48,0
20191030:1011,207909000,842.69,20.27,4.23,0.55,0
20191030:1111,208806000,852.67,21.25,5.69,0.62,0
20191030:1211,193749000,782.99,19.9,6.6,0.9,0
20191030:1311,160137000,634.7,16.38,6.95,1.24,0
20191030:1411,104610000,412.52,11.01,6.75,1.17,0
20191030:1511,8421000,47.5,4.24,6.04,1.45,0
20191030:1611,0,0,0,4.84,1.66,0
20191030:1711,0,0,0,3.68,1.86,0
20191030:1811,0,0,0,2.8,2.14,0
20191030:1911,0,0,0,2.69,2.07,0
20191030:2011,0,0,0,2.09,2.14,0
20191030:2111,0,0,0,1.76,2.14,0
20191030:2211,0,0,0,1.55,2.14,0
20191030:2311,0,0,0,1.41,2.14,0
20191031:0011,0,0,0,1.29,2.14,0
20191031:0111,0,0,0,1.29,2.14,0
20191031:0211,0,0,0,1.35,2.14,0
20191031:0311,0,0,0,1.42,2.21,0
20191031:0411,0,0,0,1.42,2.21,0
20191031:0511,0,0,0,1.27,2.14,0
20191031:0611,0,0,0,1.27,2,0
20191031:0711,12303000,62.06,5.12,0.98,1.93,0
20191031:0811,70578000,275.28,11.68,2.18,1.66,0
20191031:0911,116586000,450.14,16.76,4.09,1.59,0
20191031:1011,190509000,755.76,19.95,5.87,1.66,0
20191031:1111,195828000,783.96,20.92,7.09,1.66,0
20191031:1211,193809000,777.58,19.58,7.8,1.66,0
20191031:1311,152019000,601.33,16.06,8.01,1.59,0
20191031:1411,96534000,381.74,10.72,7.7,1.52,0
20191031:1511,15234000,75.94,3.95,6.75,1.52,0
20191031:1611,0,0,0,5.19,1.86,0
20191031:1711,0,0,0,3.9,1.86,0
20191031:1811,0,0,0,2.86,1.79,0
20191031:1911,0,0,0,2.38,1.86,0
20191031:2011,0,0,0,1.61,2,0
20191031:2111,0,0,0,1.12,2.21,0
20191031:2211,0,0,0,0.73,2.28,0
20191031:2311,0,0,0,0.34,2.28,0
20191101:0011,0,0,0,-0.02,2.34,0
20191101:0111,0,0,0,-0.33,2.34,0
20191101:0211,0,0,0,-0.57,2.34,0
20191101:0311,0,0,0,-0.6,2.41,0
20191101:0411,0,0,0,-0.55,2.55,0
20191101:0511,0,0,0,-0.32,2.76,0
20191101:0611,0,0,0,0.08,2.97,0
20191101:0711,9630000,51.16,4.84,0.44,3.1,0
20191101:0811,34695000,143.81,11.39,1.29,3.45,0
20191101:0911,69138000,268.18,16.45,2.18,3.03,0
20191101:1011,86937000,333.54,19.63,3.07,3.59,0
20191101:1111,109419000,417.42,20.6,3.75,3.66,0
20191101:1211,76548000,297.27,19.26,4.21,3.59,0
20191101:1311,15696000,75.42,15.76,4.47,3.45,0
20191101:1411,12267000,61.84,10.42,4.29,2.76,0
20191101:1511,1185000,13.47,3.67,3.9,2.9,0
20191101:1611,0,0,0,3.4,2.9,0
20191101:1711,0,0,0,3.37,2.9,0
20191101:1811,0,0,0,3.47,2.83,0
20191101:1911,0,0,0,3.11,2.41,0
20191101:2011,0,0,0,3.28,2.34,0
20191101:2111,0,0,0,3.46,2.34,0
20191101:2211,0,0,0,3.67,2.21,0
20191101:2311,0,0,0,3.88,2.28,0
20191102:0011,0,0,0,4.15,2.34,0
20191102:0111,0,0,0,4.41,2.28,0
20191102:0211,0,0,0,4.79,2.41,0
20191102:0311,0,0,0,5.27,2.62,0
20191102:0411,0,0,0,5.72,2.69,0
20191102:0511,0,0,0,6.11,2.62,0
20191102:0611,0,0,0,6.47,2.55,0
20191102:0711,438000,8.98,4.56,6.96,2.28,0
20191102:0811,3438000,25.14,11.09,7.49,2.34,0
20191102:0911,6828000,40.4,16.15,8.11,2.55,0
20191102:1011,3606000,26.04,19.31,8.65,2.55,0
20191102:1111,6792000,40.4,20.28,9.08,2.14,0
20191102:1211,3021000,23.34,18.94,9.87,2.41,0
20191102:1311,41553000,175.52,15.45,11.29,3.31,0
20191102:1411,6483000,39.51,10.13,12.26,3.93,0
20191102:1511,26145000,122.05,3.4,12.26,3.93,0
20191102:1611,0,0,0,11.68,3.66,0
20191102:1711,0,0,0,10.9,3.45,0
20191102:1811,0,0,0,10.42,3.45,0
20191102:1911,0,0,0,9.85,3.45,0
20191102:2011,0,0,0,9.62,3.31,0
20191102:2111,0,0,0,9.22,3.24,0
20191102:2211,0,0,0,9.34,3.45,0
20191102:2311,0,0,0,9.45,3.59,0
20191103:0011,0,0,0,9.68,3.45,0
20191103:0111,0,0,0,9.67,3.31,0
20191103:0211,0,0,0,9.54,3.17,0
20191103:0311,0,0,0,9.42,3.17,0
20191103:0411,0,0,0,9.24,2.97,0
20191103:0511,0,0,0,9.01,2.9,0
20191103:0611,0,0,0,8.56,2.62,0
20191103:0711,702000,10.77,4.28,8.56,2.28,0
20191103:0811,20145000,93.67,10.8,8.74,2.28,0
20191103:0911,9321000,51.18,15.84,9.42,2,0
20191103:1011,5328000,34.12,19,10.17,2.14,0
20191103:1111,3375000,25.14,19.96,10.7,2,0
20191103:1211,152952000,612.57,18.63,11.02,1.79,0
20191103:1311,25680000,116.12,15.16,11.16,1.72,0
20191103:1411,17445000,84.09,9.85,11.21,1.93,0
20191103:1511,6327000,39.37,3.13,10.51,1.86,0
20191103:1611,0,0,0,9.55,2,0
20191103:1711,0,0,0,9.22,2.07,0
20191103:1811,0,0,0,8.99,2.07,0
20191103:1911,0,0,0,8.72,2.07,0
20191103:2011,0,0,0,8.71,2.21,0
20191103:2111,0,0,0,8.8,2.48,0
20191103:2211,0,0,0,9.04,2.76,0
20191103:2311,0,0,0,9.09,3.03,0
20191104:0011,0,0,0,9.39,3.03,0
20191104:0111,0,0,0,9.49,3.38,0
20191104:0211,0,0,0,9.51,3.59,0
20191104:0311,0,0,0,9.57,3.72,0
20191104:0411,0,0,0,9.6,3.79,0
20191104:0511,0,0,0,9.58,3.86,0
20191104:0611,0,0,0,9.55,3.86,0
20191104:0711,840000,11.67,4,9.84,3.52,0
20191104:0811,4350000,29.63,10.51,9.84,3.45,0
20191104:0911,6153000,37.71,15.54,9.86,3.38,0
20191104:1011,3024000,23.34,18.69,9.82,3.31,0
20191104:1111,9954000,53.87,19.65,9.91,3.17,0
20191104:1211,11475000,60.16,18.33,10,2.83,0
20191104:1311,2838000,22.45,14.86,9.93,3.03,0
20191104:1411,5748000,35.91,9.57,9.73,2.9,0
20191104:1511,300000,8.08,2.87,9.56,2.62,0
20191104:1611,0,0,0,9.28,2.69,0
20191104:1711,0,0,0,9.11,2.97,0
20191104:1811,0,0,0,8.91,3.31,0
20191104:1911,0,0,0,8.8,3.45,0
20191104:2011,0,0,0,8.61,3.45,0
20191104:2111,0,0,0,8.43,3.38,0
20191104:2211,0,0,0,8.26,3.45,0
20191104:2311,0,0,0,8.1,3.52,0
20191105:0011,0,0,0,7.94,3.59,0
20191105:0111,0,0,0,7.76,3.59,0
20191105:0211,0,0,0,7.6,3.59,0
20191105:0311,0,0,0,7.41,3.66,0
20191105:0411,0,0,0,7.18,3.66,0
20191105:0511,0,0,0,6.97,3.66,0
20191105:0611,0,0,0,6.79,3.45,0
20191105:0711,438000,8.98,3.73,6.74,3.86,0
20191105:0811,15282000,74.1,10.23,6.57,3.86,0
20191105:0911,28314000,123.42,15.24,6.52,3.86,0
20191105:1011,43860000,180.66,18.38,6.47,3.59,0
20191105:1111,37416000,157.41,19.34,6.7,3.86,0
20191105:1211,24924000,111.29,18.03,6.91,3.86,0
20191105:1311,15747000,76.24,14.57,6.79,2.97,0
20191105:1411,12828000,64.56,9.3,6.61,2.76,0
20191105:1511,0,4.49,2.61,6.35,2.97,0
20191105:1611,0,0,0,6.06,2.83,0
20191105:1711,0,0,0,5.83,2.76,0
20191105:1811,0,0,0,5.68,2.69,0
20191105:1911,0,0,0,5.59,2.48,0
20191105:2011,0,0,0,5.44,2.34,0
20191105:2111,0,0,0,5.3,2.28,0
20191105:2211,0,0,0,5.14,2.14,0
20191105:2311,0,0,0,5.02,2,0
20191106:0011,0,0,0,4.87,1.93,0
20191106:0111,0,0,0,4.8,1.86,0
20191106:0211,0,0,0,4.77,1.79,0
20191106:0311,0,0,0,4.68,1.79,0
20191106:0411,0,0,0,4.65,1.79,0
20191106:0511,0,0,0,4.6,1.72,0
20191106:0611,0,0,0,4.5,1.45,0
20191106:0711,0,2.69,3.46,4.39,1.38,0
20191106:0811,1506000,15.26,9.94,4.45,1.66,0
20191106:0911,8454000,46.69,14.95,4.6,1.86,0
20191106:1011,45204000,185,18.08,4.83,1.79,0
20191106:1111,44436000,182.63,19.04,5.15,1.72,0
20191106:1211,24084000,107.8,17.73,5.47,1.45,0
20191106:1311,33885000,143.95,14.29,5.62,1.17,0
20191106:1411,18777000,87.38,9.03,5.67,1.17,0
20191106:1511,0,3.59,2.35,5.47,1.1,0
20191106:1611,0,0,0,5.23,1.03,0
20191106:1711,0,0,0,5.02,0.97,0
20191106:1811,0,0,0,4.56,1.03,0
20191106:1911,0,0,0,4.55,1.03,0
20191106:2011,0,0,0,4.43,0.97,0
20191106:2111,0,0,0,4.12,0.83,0
20191106:2211,0,0,0,3.83,0.76,0
20191106:2311,0,0,0,3.79,0.55,0
20191107:0011,0,0,0,3.64,0.48,0
20191107:0111,0,0,0,3.32,0.48,0
20191107:0211,0,0,0,2.86,0.55,0
20191107:0311,0,0,0,1.71,0.76,0
20191107:0411,0,0,0,0.69,0.76,0
20191107:0511,0,0,0,0.29,0.83,0
20191107:0611,0,0,0,0.93,1.03,0
20191107:0711,0,3.59,3.19,1.38,1.17,0
20191107:0811,71331000,278.27,9.66,2.06,1.38,0
20191107:0911,130794000,505.08,14.66,3.8,1.45,0
20191107:1011,189294000,744.93,17.78,5.1,1.86,0
20191107:1111,162450000,634.32,18.74,6.02,2.14,0
20191107:1211,78960000,309.95,17.44,6.73,2.69,0
20191107:1311,47775000,195.23,14.01,7.08,2.83,0
20191107:1411,91158000,357.77,8.77,6.83,2.48,0
20191107:1511,0,0,0,6.15,2.55,0
20191107:1611,0,0,0,5.56,2.83,0
20191107:1711,0,0,0,5.49,3.03,0
20191107:1811,0,0,0,5.52,3.03,0
20191107:1911,0,0,0,4.95,2.9,0
20191107:2011,0,0,0,5.36,3.24,0
20191107:2111,0,0,0,5.79,3.38,0
20191107:2211,0,0,0,6.13,3.31,0
20191107:2311,0,0,0,6.26,3.03,0
20191108:0011,0,0,0,6.46,2.41,0
20191108:0111,0,0,0,6.42,1.72,0
20191108:0211,0,0,0,6.45,1.86,0
20191108:0311,0,0,0,6.39,2.48,0
20191108:0411,0,0,0,6.44,2.97,0
20191108:0511,0,0,0,5.95,3.38,0
20191108:0611,0,0,0,5.26,3.31,0
20191108:0711,2424000,20.28,2.92,4.95,3.1,0
20191108:0811,19386000,89.36,9.38,5.23,2.97,0
20191108:0911,13041000,65.54,14.37,6.28,2.76,0
20191108:1011,92049000,357.95,17.49,7.5,4.14,0
20191108:1111,115872000,449.79,18.45,8.45,4,0
20191108:1211,172920000,678.2,17.16,8.86,3.45,0
20191108:1311,141579000,556.2,13.74,8.93,2.48,0
20191108:1411,90315000,359.24,8.51,8.69,1.66,0
20191108:1511,0,0,0,7.68,1.79,0
20191108:1611,0,0,0,6.29,2,0
20191108:1711,0,0,0,5.34,1.93,0
20191108:1811,0,0,0,4.7,1.86,0
20191108:1911,0,0,0,4.28,1.72,0
20191108:2011,0,0,0,3.62,1.45,0
20191108:2111,0,0,0,3.13,1.24,0
20191108:2211,0,0,0,2.93,1.1,0
20191108:2311,0,0,0,2.54,1.1,0
20191109:0011,0,0,0,2.85,0.83,0
20191109:0111,0,0,0,2.9,0.34,0
20191109:0211,0,0,0,1.83,0.55,0
20191109:0311,0,0,0,1.82,0.62,0
20191109:0411,0,0,0,1.86,0.69,0
20191109:0511,0,0,0,2.13,0.83,0
20191109:0611,0,0,0,2.37,0.83,0
20191109:0711,0,4.49,2.65,2.42,0.69,0
20191109:0811,28002000,120.77,9.11,3.01,1.03,0
20191109:0911,63330000,250.33,14.08,3.68,0.97,0
20191109:1011,81807000,320.23,17.19,4.39,0.83,0
20191109:1111,55425000,223.69,18.16,5.42,0.76,0
20191109:1211,32259000,138.63,16.87,6.2,0.9,0
20191109:1311,66609000,265.66,13.47,6.49,0.9,0
20191109:1411,60495000,243.95,8.26,6.52,0.83,0
20191109:1511,0,0,0,5.94,1.17,0
20191109:1611,0,0,0,4.88,1.66,0
20191109:1711,0,0,0,4,1.66,0
20191109:1811,0,0,0,3.34,1.66,0
20191109:1911,0,0,0,3.88,1.17,0
20191109:2011,0,0,0,3.62,1.24,0
20191109:2111,0,0,0,3.09,1.45,0
20191109:2211,0,0,0,2.95,1.52,0
20191109:2311,0,0,0,2.82,1.59,0
20191110:0011,0,0,0,2.67,1.72,0
20191110:0111,0,0,0,2.85,1.79,0
20191110:0211,0,0,0,2.84,1.86,0
20191110:0311,0,0,0,2.6,1.79,0
20191110:0411,0,0,0,2.36,1.79,0
20191110:0511,0,0,0,2.44,1.59,0
20191110:0611,0,0,0,2.21,1.72,0
20191110:0711,87000,6.29,2.39,2.74,1.79,0
20191110:0811,33603000,141.23,8.83,3.17,1.66,0
20191110:0911,89019000,345.04,13.8,4.47,1.86,0
20191110:1011,97509000,377.58,16.91,5.34,2.28,0
20191110:1111,149187000,577.81,17.87,5.88,2.55,0
20191110:1211,137223000,532.01,16.6,6.21,2.34,0
20191110:1311,137310000,534.3,13.21,6.42,2.07,0
20191110:1411,11751000,60.26,8.01,6.6,2,0
20191110:1511,0,0,0,6.32,2,0
20191110:1611,0,0,0,5.98,2.48,0
20191110:1711,0,0,0,5.76,2.97,0
20191110:1811,0,0,0,5.55,3.31,0
20191110:1911,0,0,0,5.07,3.52,0
20191110:2011,0,0,0,4.99,3.52,0
20191110:2111,0,0,0,5.13,3.45,0
20191110:2211,0,0,0,5.28,3.45,0
20191110:2311,0,0,0,5.46,3.38,0
20191111:0011,0,0,0,5.4,3.17,0
20191111:0111,0,0,0,5.4,2.97,0
20191111:0211,0,0,0,5.36,2.83,0
20191111:0311,0,0,0,5.51,2.76,0
20191111:0411,0,0,0,4.98,2.83,0
20191111:0511,0,0,0,4.76,2.97,0
20191111:0611,0,0,0,4.44,3.03,0
20191111:0711,0,0,0,3.8,3.24,0
20191111:0811,99666000,382.16,8.56,3.33,3.45,0
20191111:0911,96705000,369.87,13.52,3.48,3.1,0
20191111:1011,171921000,655.13,16.63,4.18,4.21,0
20191111:1111,188979000,724.21,17.59,5.12,4.62,0
20191111:1211,175428000,671.92,16.33,5.77,4.69,0
20191111:1311,112476000,430.64,12.95,6.03,4.62,0
20191111:1411,0,0,0,5.72,3.79,0
20191111:1511,0,0,0,5.04,3.93,0
20191111:1611,0,0,0,4.38,4.28,0
20191111:1711,0,0,0,3.78,4.48,0
20191111:1811,0,0,0,3.51,4.48,0
20191111:1911,0,0,0,3.55,4.55,0
20191111:2011,0,0,0,3.48,4.69,0
20191111:2111,0,0,0,3.63,4.9,0
20191111:2211,0,0,0,3.93,4.9,0
20191111:2311,0,0,0,4.1,4.76,0
20191112:0011,0,0,0,3.88,4.55,0
20191112:0111,0,0,0,4.13,4.55,0
20191112:0211,0,0,0,4.48,4.48,0
20191112:0311,0,0,0,4.8,4.55,0
20191112:0411,0,0,0,4.72,4.69,0
20191112:0511,0,0,0,5.01,4.97,0
20191112:0611,0,0,0,5.12,5.03,0
20191112:0711,0,0,0,5.18,5.03,0
20191112:0811,444000,8.98,8.3,5.29,5.24,0
20191112:0911,6093000,36.81,13.25,5.41,5.31,0
20191112:1011,7995000,44.89,16.35,5.6,5.59,0
20191112:1111,5460000,34.12,17.32,5.85,5.72,0
20191112:1211,6276000,37.71,16.06,6.17,5.72,0
20191112:1311,10368000,54.77,12.7,6.27,4.55,0
20191112:1411,5040000,32.32,7.54,6.29,4.83,0
20191112:1511,0,0,0,5.83,4.07,0
20191112:1611,0,0,0,5.38,3.79,0
20191112:1711,0,0,0,4.99,3.66,0
20191112:1811,0,0,0,4.49,3.72,0
20191112:1911,0,0,0,4.73,3.66,0
20191112:2011,0,0,0,4.52,3.38,0
20191112:2111,0,0,0,4.53,3.38,0
20191112:2211,0,0,0,4.19,3.38,0
20191112:2311,0,0,0,3.86,3.31,0
20191113:0011,0,0,0,3.78,3.38,0
20191113:0111,0,0,0,3.36,3.38,0
20191113:0211,0,0,0,3.18,3.1,0
20191113:0311,0,0,0,2.62,2.76,0
20191113:0411,0,0,0,2.21,3.17,0
20191113:0511,0,0,0,2.2,3.52,0
20191113:0611,0,0,0,2.1,3.52,0
20191113:0711,0,0,0,1.64,3.79,0
20191113:0811,49875000,198.51,8.04,2.04,4.07,0
20191113:0911,13593000,66.72,12.98,3.03,3.86,0
20191113:1011,21258000,96.08,16.08,3.67,4.69,0
20191113:1111,9147000,49.38,17.05,4.24,5.79,0
20191113:1211,4281000,28.73,15.8,4.59,5.86,0
20191113:1311,22635000,101.29,12.46,4.98,5.38,0
20191113:1411,30717000,131.24,7.31,5.33,4.48,0
20191113:1511,0,0,0,5.68,4.34,0
20191113:1611,0,0,0,5.65,4.07,0
20191113:1711,0,0,0,5.53,3.72,0
20191113:1811,0,0,0,5.52,3.45,0
20191113:1911,0,0,0,5.2,3.17,0
20191113:2011,0,0,0,5.3,3.1,0
20191113:2111,0,0,0,4.87,2.97,0
20191113:2211,0,0,0,4.72,2.9,0
20191113:2311,0,0,0,4.5,2.83,0
20191114:0011,0,0,0,4.25,2.83,0
20191114:0111,0,0,0,4.09,2.76,0
20191114:0211,0,0,0,4.21,2.69,0
20191114:0311,0,0,0,3.88,2.62,0
20191114:0411,0,0,0,3.56,2.55,0
20191114:0511,0,0,0,3.12,2.55,0
20191114:0611,0,0,0,3.05,2.48,0
20191114:0711,0,0,0,2.54,2.21,0
20191114:0811,13008000,64.22,7.78,2.69,1.93,0
20191114:0911,8064000,44.89,12.71,3.65,2.76,0
20191114:1011,15195000,73.63,15.81,4.89,2.97,0
20191114:1111,79119000,309.3,16.79,6.03,2.76,0
20191114:1211,161688000,631.24,15.55,6.65,2.34,0
20191114:1311,106761000,415.18,12.22,6.99,2.41,0
20191114:1411,49491000,202.02,7.08,6.72,2.14,0
20191114:1511,0,0,0,5.69,2.34,0
20191114:1611,0,0,0,4.65,2.62,0
20191114:1711,0,0,0,4.42,2.9,0
20191114:1811,0,0,0,4.69,3.1,0
20191114:1911,0,0,0,5.06,3.17,0
20191114:2011,0,0,0,5.1,3.03,0
20191114:2111,0,0,0,5.13,3.17,0
20191114:2211,0,0,0,5.22,3.59,0
20191114:2311,0,0,0,5.25,3.79,0
20191115:0011,0,0,0,5.12,3.79,0
20191115:0111,0,0,0,5.04,3.93,0
20191115:0211,0,0,0,4.93,4.28,0
20191115:0311,0,0,0,5.08,4.55,0
20191115:0411,0,0,0,5.15,5.03,0
20191115:0511,0,0,0,5.5,5.45,0
20191115:0611,0,0,0,5.58,5.66,0
20191115:0711,0,0,0,5.84,5.38,0
20191115:0811,1830000,17.06,7.52,5.99,5.59,0
20191115:0911,5247000,33.22,12.45,6.15,5.72,0
20191115:1011,9705000,52.08,15.55,6.35,5.52,0
20191115:1111,23376000,105.15,16.53,6.74,5.52,0
20191115:1211,7287000,42.2,15.3,7.34,5.72,0
20191115:1311,2334000,19.75,11.98,7.65,5.66,0
20191115:1411,1809000,17.06,6.87,7.87,5.93,0
20191115:1511,0,0,0,8.02,5.86,0
20191115:1611,0,0,0,8.18,5.86,0
20191115:1711,0,0,0,8.42,5.66,0
20191115:1811,0,0,0,8.62,5.03,0
20191115:1911,0,0,0,8.31,3.66,0
20191115:2011,0,0,0,8.2,3.17,0
20191115:2111,0,0,0,8.06,2.69,0
20191115:2211,0,0,0,7.92,2.14,0
20191115:2311,0,0,0,7.77,1.93,0
20191116:0011,0,0,0,7.67,1.86,0
20191116:0111,0,0,0,7.63,1.79,0
20191116:0211,0,0,0,7.62,1.59,0
20191116:0311,0,0,0,7.63,1.31,0
20191116:0411,0,0,0,7.56,1.31,0
20191116:0511,0,0,0,7.59,1.45,0
20191116:0611,0,0,0,7.64,1.45,0
20191116:0711,0,0,0,7.58,1.45,0
20191116:0811,6027000,36.81,7.27,7.74,1.31,0
20191116:0911,1473000,15.26,12.2,7.91,1.24,0
20191116:1011,2148000,18.86,15.29,8.27,1.72,0
20191116:1111,4383000,29.63,16.27,8.25,1.38,0
20191116:1211,7032000,41.3,15.06,8.15,1.86,0
20191116:1311,9822000,52.97,11.76,8.04,2.14,0
20191116:1411,24480000,109.57,6.66,8,2.62,0
20191116:1511,0,0,0,7.95,3.17,0
20191116:1611,0,0,0,7.94,3.72,0
20191116:1711,0,0,0,7.93,3.93,0
20191116:1811,0,0,0,7.87,4.07,0
20191116:1911,0,0,0,8.15,5.45,0
20191116:2011,0,0,0,8.14,5.86,0
20191116:2111,0,0,0,7.94,6.28,0
20191116:2211,0,0,0,7.46,6.69,0
20191116:2311,0,0,0,6.97,6.48,0
20191117:0011,0,0,0,6.69,5.72,0
20191117:0111,0,0,0,6.53,5.1,0
20191117:0211,0,0,0,6.36,4.83,0
20191117:0311,0,0,0,5.99,4.69,0
20191117:0411,0,0,0,5.71,4.48,0
20191117:0511,0,0,0,5.5,4,0
20191117:0611,0,0,0,5.09,3.59,0
20191117:0711,0,0,0,4.64,3.17,0
20191117:0811,42507000,174.09,7.02,4.4,3.03,0
20191117:0911,115389000,442.94,11.94,4.56,2.55,0
20191117:1011,157086000,607,15.04,5.33,2.62,0
20191117:1111,148707000,576.22,16.03,5.99,2.48,0
20191117:1211,97992000,381.05,14.82,6.43,2.21,0
20191117:1311,92247000,360.76,11.53,6.48,1.59,0
20191117:1411,17640000,83.05,6.45,6.14,1.03,0
20191117:1511,0,0,0,5.57,1.45,0
20191117:1611,0,0,0,4.72,1.59,0
20191117:1711,0,0,0,4.49,1.79,0
20191117:1811,0,0,0,4.42,1.93,0
20191117:1911,0,0,0,4.66,2.28,0
20191117:2011,0,0,0,4.81,2.55,0
20191117:2111,0,0,0,5.11,2.69,0
20191117:2211,0,0,0,5.27,2.97,0
20191117:2311,0,0,0,5.22,3.52,0
20191118:0011,0,0,0,5.4,3.93,0
20191118:0111,0,0,0,5.62,4.34,0
20191118:0211,0,0,0,5.8,4.48,0
20191118:0311,0,0,0,5.93,4.48,0
20191118:0411,0,0,0,6.08,4.21,0
20191118:0511,0,0,0,6.25,3.72,0
20191118:0611,0,0,0,6.42,3.24,0
20191118:0711,0,0,0,6.95,2.69,0
20191118:0811,435000,8.98,6.78,7.31,2.41,0
20191118:0911,4203000,28.73,11.7,7.75,1.93,0
20191118:1011,2148000,18.86,14.79,8.14,1.31,0
20191118:1111,4380000,29.63,15.78,8.32,0.9,0
20191118:1211,15204000,74.75,14.59,8.41,0.69,0
20191118:1311,7017000,41.3,11.32,8.38,0.55,0
20191118:1411,1971000,17.96,6.25,8.29,0.55,0
20191118:1511,0,0,0,8.07,0.83,0
20191118:1611,0,0,0,7.85,1.17,0
20191118:1711,0,0,0,7.62,1.52,0
20191118:1811,0,0,0,7.35,1.66,0
20191118:1911,0,0,0,7.47,1.03,0
20191118:2011,0,0,0,7.2,1.86,0
20191118:2111,0,0,0,6.7,2.55,0
20191118:2211,0,0,0,6.19,2.9,0
20191118:2311,0,0,0,5.79,3.31,0
20191119:0011,0,0,0,5.5,3.52,0
20191119:0111,0,0,0,5.28,3.38,0
20191119:0211,0,0,0,5.14,3.17,0
20191119:0311,0,0,0,5.05,2.83,0
20191119:0411,0,0,0,4.97,2.55,0
20191119:0511,0,0,0,4.96,2.07,0
20191119:0611,0,0,0,4.94,1.86,0
20191119:0711,0,0,0,4.85,1.45,0
20191119:0811,7920000,44.4,6.54,5.19,1.38,0
20191119:0911,21021000,95.9,11.45,6,1.59,0
20191119:1011,46362000,189.95,14.55,7.12,2.76,0
20191119:1111,14751000,72.73,15.55,7.95,3.79,0
20191119:1211,2148000,18.86,14.37,8.4,4.48,0
20191119:1311,13662000,68.25,11.11,8.39,4.62,0
20191119:1411,1473000,15.26,6.06,8.2,4.34,0
20191119:1511,0,0,0,8.04,4,0
20191119:1611,0,0,0,7.99,3.72,0
20191119:1711,0,0,0,8,3.59,0
20191119:1811,0,0,0,7.99,3.52,0
20191119:1911,0,0,0,6.84,2.9,0
20191119:2011,0,0,0,6.83,2.62,0
20191119:2111,0,0,0,6.68,2.34,0
20191119:2211,0,0,0,6.5,2.14,0
20191119:2311,0,0,0,6.35,1.86,0
20191120:0011,0,0,0,6.15,1.52,0
20191120:0111,0,0,0,5.72,1.31,0
20191120:0211,0,0,0,5.25,1.1,0
20191120:0311,0,0,0,4.87,0.97,0
20191120:0411,0,0,0,4.45,0.97,0
20191120:0511,0,0,0,5.06,0.48,0
20191120:0611,0,0,0,4.29,0.41,0
20191120:0711,0,0,0,1.32,1.24,0
20191120:0811,26970000,116.42,6.3,1.91,0.76,0
20191120:0911,5928000,35.91,11.22,3.51,0.48,0
20191120:1011,31041000,133.13,14.31,5.1,0.97,0
20191120:1111,10356000,54.77,15.32,6.05,1.45,0
20191120:1211,4230000,28.73,14.15,6.52,1.59,0
20191120:1311,1992000,17.96,10.91,6.76,1.45,0
20191120:1411,9675000,51.82,5.87,6.5,0.97,0
20191120:1511,0,0,0,6.05,0.55,0
20191120:1611,0,0,0,5.74,0.62,0
20191120:1711,0,0,0,5.55,0.97,0
20191120:1811,0,0,0,5.5,1.03,0
20191120:1911,0,0,0,5.19,0.97,0
20191120:2011,0,0,0,5.16,0.83,0
20191120:2111,0,0,0,5.12,0.55,0
20191120:2211,0,0,0,5.13,0.69,0
20191120:2311,0,0,0,5.04,0.97,0
20191121:0011,0,0,0,4.93,1.24,0
20191121:0111,0,0,0,4.75,1.59,0
20191121:0211,0,0,0,4.6,1.38,0
20191121:0311,0,0,0,4.41,1.52,0
20191121:0411,0,0,0,4.18,1.45,0
20191121:0511,0,0,0,4.05,1.59,0
20191121:0611,0,0,0,3.77,1.45,0
20191121:0711,0,0,0,3.64,1.66,0
20191121:0811,1854000,17.06,6.07,3.59,1.31,0
20191121:0911,5502000,34.12,10.98,4.01,1.79,0
20191121:1011,4476000,29.63,14.08,4.47,1.66,0
20191121:1111,6942000,40.4,15.09,4.75,1.52,0
20191121:1211,3873000,26.94,13.93,4.92,2.07,0
20191121:1311,3102000,23.34,10.71,5.11,2.34,0
20191121:1411,0,5.39,5.69,5.27,2.76,0
20191121:1511,0,0,0,5.66,2.97,0
20191121:1611,0,0,0,6.27,3.1,0
20191121:1711,0,0,0,7.03,3.24,0
20191121:1811,0,0,0,7.61,3.24,0
20191121:1911,0,0,0,7.94,3.1,0
20191121:2011,0,0,0,8.09,2.69,0
20191121:2111,0,0,0,8.1,2.34,0
20191121:2211,0,0,0,8.11,2.14,0
20191121:2311,0,0,0,8.12,2.07,0
20191122:0011,0,0,0,8.11,2.14,0
