time,P,G(i),H_sun,T2m,WS10m,Int
20190116:1411,78000,6.29,6.83,7.19,6.28,0
20190116:1511,0,0,0,6.82,6.21,0
20190116:1611,0,0,0,6.42,6.28,0
20190116:1711,0,0,0,6.3,6.41,0
20190116:1811,0,0,0,6.21,6.41,0
20190116:1911,0,0,0,5.95,6.9,0
20190116:2011,0,0,0,5.71,6.9,0
20190116:2111,0,0,0,5.52,6.62,0
20190116:2211,0,0,0,5.48,5.52,0
20190116:2311,0,0,0,5.31,4.55,0
20190117:0011,0,0,0,4.98,4.28,0
20190117:0111,0,0,0,4.8,4.55,0
20190117:0211,0,0,0,4.48,4.62,0
20190117:0311,0,0,0,4.34,4.69,0
20190117:0411,0,0,0,4.25,4.9,0
20190117:0511,0,0,0,4.19,5.31,0
20190117:0611,0,0,0,4.04,5.79,0
20190117:0711,0,0,0,4.25,6.14,0
20190117:0811,0,1.8,2.95,3.98,5.24,0
20190117:0911,14331000,69.44,8.43,3.96,4.41,0
20190117:1011,12717000,63.56,12.25,4.18,4,0
20190117:1111,17862000,83.57,14.08,4.5,2.83,0
20190117:1211,30603000,130.59,13.78,4.49,2.9,0
20190117:1311,7818000,44,11.36,4.38,2.41,0
20190117:1411,198000,7.18,7.04,3.79,2.62,0
20190117:1511,0,0,0,2.8,2.76,0
20190117:1611,0,0,0,1.44,3.24,0
20190117:1711,0,0,0,0.81,4,0
20190117:1811,0,0,0,0.4,3.66,0
20190117:1911,0,0,0,0.1,3.38,0
20190117:2011,0,0,0,-0.2,3.79,0
20190117:2111,0,0,0,-0.73,3.79,0
20190117:2211,0,0,0,-1.2,3.59,0
20190117:2311,0,0,0,-1.51,3.24,0
20190118:0011,0,0,0,-1.75,2.83,0
20190118:0111,0,0,0,-2.07,2.34,0
20190118:0211,0,0,0,-2.27,2,0
20190118:0311,0,0,0,-2.79,1.72,0
20190118:0411,0,0,0,-3.3,2,0
20190118:0511,0,0,0,-2.89,2.41,0
20190118:0611,0,0,0,-1.42,2.62,0
20190118:0711,0,0,0,-1.05,2.55,0
20190118:0811,18702000,85.3,3.09,-0.71,2.55,0
20190118:0911,32250000,133.88,8.6,0.01,2.41,0
20190118:1011,50238000,199.16,12.43,1.26,2.14,0
20190118:1111,64302000,250.96,14.28,2.3,2,0
20190118:1211,72168000,280.17,13.98,2.88,1.93,0
20190118:1311,75072000,290.31,11.57,2.95,2.21,0
20190118:1411,58251000,229.24,7.25,2.43,2.14,0
20190118:1511,0,0,0,1.37,2.34,0
20190118:1611,0,0,0,0.43,2.41,0
20190118:1711,0,0,0,0.1,2.34,0
20190118:1811,0,0,0,-0.14,2.28,0
20190118:1911,0,0,0,-0.19,2.21,0
20190118:2011,0,0,0,-0.42,2.21,0
20190118:2111,0,0,0,-0.61,2.14,0
20190118:2211,0,0,0,-0.55,2.14,0
20190118:2311,0,0,0,-0.74,2.21,0
20190119:0011,0,0,0,-0.85,2.21,0
20190119:0111,0,0,0,-0.87,2.07,0
20190119:0211,0,0,0,-0.95,2,0
20190119:0311,0,0,0,-0.91,1.93,0
20190119:0411,0,0,0,-0.72,1.93,0
20190119:0511,0,0,0,-0.74,2,0
20190119:0611,0,0,0,-0.72,2.07,0
20190119:0711,0,0,0,-1.21,2.14,0
20190119:0811,468000,8.98,3.25,-1.18,2.14,0
20190119:0911,36702000,149.57,8.77,-0.51,2.07,0
20190119:1011,49287000,195.13,12.61,0.46,2.21,0
20190119:1111,76734000,294.77,14.48,1.39,2.07,0
20190119:1211,93795000,357.78,14.2,1.88,2.07,0
20190119:1311,88503000,338.67,11.79,1.97,1.86,0
20190119:1411,41382000,167.69,7.47,1.42,1.79,0
20190119:1511,0,0,0,0.36,2,0
20190119:1611,0,0,0,-0.82,2.07,0
20190119:1711,0,0,0,-1.4,2.07,0
20190119:1811,0,0,0,-1.79,2.07,0
20190119:1911,0,0,0,-2.07,2,0
20190119:2011,0,0,0,-2.34,1.93,0
20190119:2111,0,0,0,-2.77,2,0
20190119:2211,0,0,0,-3.02,2,0
20190119:2311,0,0,0,-3.19,2.07,0
20190120:0011,0,0,0,-3.28,2.07,0
20190120:0111,0,0,0,-3.4,1.93,0
20190120:0211,0,0,0,-3.56,1.79,0
20190120:0311,0,0,0,-3.65,1.66,0
20190120:0411,0,0,0,-4.02,1.59,0
20190120:0511,0,0,0,-4.38,1.38,0
20190120:0611,0,0,0,-4.71,1.31,0
20190120:0711,0,0,0,-4.67,1.31,0
20190120:0811,25530000,109.06,3.41,-4.7,1.31,0
20190120:0911,32376000,132.75,8.94,-3.65,1.03,0
20190120:1011,145833000,552.52,12.81,-1.63,0.97,0
